12806	16543	3.94
172098	706020	3.84
194253	3107571	3.82
366385	26574	3.68
8643980	30677	3.66
11090	66986	3.65
5236	47777152	3.60
86260	26753	3.59
163941	2173925	3.58
134258	27992	3.46
2374796	187557	3.46
12581	1388703	3.45
254292	193060	3.41
1408983	2417700	3.29
901903	991766	3.21
238150	556358	3.11
234457	1346950	3.04
4098495	419369	2.74
10646	10843	2.69
3410	366385	2.63
3410	50965	2.63
22589	705355	2.61
705355	991766	2.46
4098495	3107571	2.41
50965	8643980	2.37
901903	22589	1.82
12581	16543	1.78
63752	2417700	1.69
13673345	163941	1.55
1408983	66986	1.48
50965	26574	1.41
238150	8643980	1.37
5236	1408983	1.26
3410	66986	1.24
47777152	2173925	1.22
63752	66986	1.18
10646	26574	1.09
11090	63752	1.00
3107571	991766	0.99
2417700	47777152	0.97
13673345	172098	0.97
194253	705355	0.96
419369	22589	0.91
47777152	66986	0.90
2374796	3107571	0.88
5236	11090	0.85
234457	63752	0.79
419369	27992	0.57
172098	16543	0.45
194253	26574	0.44
12581	901903	0.44
63752	1346950	0.44
234457	419369	0.39
234457	10843	0.19
2374796	8643980	0.18
2417700	556358	0.14
13673345	991766	0.11
86260	47777152	0.06
10843	238150	0.05
209005	193060	0.04
26574	2173925	0.04
6959	187557	0.02
